Z_i_label,Z_i,A total  [Msun^{-1}],A I_classic  [Msun^{-1}],A II_only_stable_MT  [Msun^{-1}],A III_single_core_CE  [Msun^{-1}],A IV_double_core_CE  [Msun^{-1}],A V_other  [Msun^{-1}],B total  [Msun^{-1}],B I_classic  [Msun^{-1}],B II_only_stable_MT  [Msun^{-1}],B III_single_core_CE  [Msun^{-1}],B IV_double_core_CE  [Msun^{-1}],B V_other  [Msun^{-1}],C total  [Msun^{-1}],C I_classic  [Msun^{-1}],C II_only_stable_MT  [Msun^{-1}],C III_single_core_CE  [Msun^{-1}],C IV_double_core_CE  [Msun^{-1}],C V_other  [Msun^{-1}],D total  [Msun^{-1}],D I_classic  [Msun^{-1}],D II_only_stable_MT  [Msun^{-1}],D III_single_core_CE  [Msun^{-1}],D IV_double_core_CE  [Msun^{-1}],D V_other  [Msun^{-1}],E total  [Msun^{-1}],E I_classic  [Msun^{-1}],E II_only_stable_MT  [Msun^{-1}],E III_single_core_CE  [Msun^{-1}],E IV_double_core_CE  [Msun^{-1}],E V_other  [Msun^{-1}],F total  [Msun^{-1}],F I_classic  [Msun^{-1}],F II_only_stable_MT  [Msun^{-1}],F III_single_core_CE  [Msun^{-1}],F IV_double_core_CE  [Msun^{-1}],F V_other  [Msun^{-1}],G total  [Msun^{-1}],G I_classic  [Msun^{-1}],G II_only_stable_MT  [Msun^{-1}],G III_single_core_CE  [Msun^{-1}],G IV_double_core_CE  [Msun^{-1}],G V_other  [Msun^{-1}],H total  [Msun^{-1}],H I_classic  [Msun^{-1}],H II_only_stable_MT  [Msun^{-1}],H III_single_core_CE  [Msun^{-1}],H IV_double_core_CE  [Msun^{-1}],H V_other  [Msun^{-1}],I total  [Msun^{-1}],I I_classic  [Msun^{-1}],I II_only_stable_MT  [Msun^{-1}],I III_single_core_CE  [Msun^{-1}],I IV_double_core_CE  [Msun^{-1}],I V_other  [Msun^{-1}],J total  [Msun^{-1}],J I_classic  [Msun^{-1}],J II_only_stable_MT  [Msun^{-1}],J III_single_core_CE  [Msun^{-1}],J IV_double_core_CE  [Msun^{-1}],J V_other  [Msun^{-1}],K total  [Msun^{-1}],K I_classic  [Msun^{-1}],K II_only_stable_MT  [Msun^{-1}],K III_single_core_CE  [Msun^{-1}],K IV_double_core_CE  [Msun^{-1}],K V_other  [Msun^{-1}],L total  [Msun^{-1}],L I_classic  [Msun^{-1}],L II_only_stable_MT  [Msun^{-1}],L III_single_core_CE  [Msun^{-1}],L IV_double_core_CE  [Msun^{-1}],L V_other  [Msun^{-1}],M total  [Msun^{-1}],M I_classic  [Msun^{-1}],M II_only_stable_MT  [Msun^{-1}],M III_single_core_CE  [Msun^{-1}],M IV_double_core_CE  [Msun^{-1}],M V_other  [Msun^{-1}],N total  [Msun^{-1}],N I_classic  [Msun^{-1}],N II_only_stable_MT  [Msun^{-1}],N III_single_core_CE  [Msun^{-1}],N IV_double_core_CE  [Msun^{-1}],N V_other  [Msun^{-1}],O total  [Msun^{-1}],O I_classic  [Msun^{-1}],O II_only_stable_MT  [Msun^{-1}],O III_single_core_CE  [Msun^{-1}],O IV_double_core_CE  [Msun^{-1}],O V_other  [Msun^{-1}],P total  [Msun^{-1}],P I_classic  [Msun^{-1}],P II_only_stable_MT  [Msun^{-1}],P III_single_core_CE  [Msun^{-1}],P IV_double_core_CE  [Msun^{-1}],P V_other  [Msun^{-1}],Q total  [Msun^{-1}],Q I_classic  [Msun^{-1}],Q II_only_stable_MT  [Msun^{-1}],Q III_single_core_CE  [Msun^{-1}],Q IV_double_core_CE  [Msun^{-1}],Q V_other  [Msun^{-1}]
0_0001,0.0001,0.00016042437631686238,7.345518381056656e-05,6.725246978475992e-05,5.823975209347514e-07,4.026076018540116e-06,1.5108249182060995e-05,0.00018384214573739205,0.00014976595474022256,4.822746428894007e-06,1.5286020088861193e-07,0.0,2.9100584367386883e-05,0.0001837830097776892,0.00012865428195016546,2.394495673016021e-05,6.404733943158706e-07,0.0,3.0543297703047695e-05,0.00017090052352529658,8.147059243073041e-05,6.836798640713771e-05,9.434506304870992e-07,0.0,2.011849405694144e-05,0.0001527719310036028,7.003637712021805e-05,6.470094005440956e-05,6.103746554173429e-07,3.382448421490937e-06,1.4041790752066879e-05,0.00013647284943436186,5.3118411906383475e-05,6.953019494472964e-05,1.0164808184986502e-06,4.883090832176014e-07,1.2319452681532515e-05,0.0002307641632025533,9.61792037165698e-05,7.541898925120755e-05,1.4485782468508679e-05,2.9463466951945568e-05,1.521672081432172e-05,0.0001658212378687921,8.010112241236522e-05,6.46664569513004e-05,5.600029907690568e-07,3.871264094372125e-06,1.662239141998525e-05,0.000162633440424975,7.592812322601191e-05,6.781008984186821e-05,3.045197394387644e-07,4.214090380542414e-06,1.4376617237113653e-05,0.0001595794273230617,7.347301141835459e-05,6.588385731357121e-05,1.1074686004088764e-06,4.259727263764885e-06,1.4855362726962125e-05,0.0001577172462023475,7.19967058356864e-05,6.672187369873821e-05,5.326186641556194e-07,3.816681935367829e-06,1.4649366068399396e-05,0.0001617777083209783,6.87483609199317e-05,7.477172319554119e-05,4.981391651357948e-07,3.6138352275654153e-06,1.4145649812804185e-05,0.00017611927338557972,8.186116260033158e-05,6.886061080216964e-05,1.885300848870535e-07,4.714867059581262e-06,2.049410283861019e-05,0.000201178107628986,9.569823209707344e-05,7.44891347291261e-05,1.904459544023645e-08,5.4441887294807035e-06,2.5527507477865477e-05,0.00016391037045683052,8.08555875401705e-05,6.260339862909101e-05,1.0620536041511942e-08,4.4047280155994884e-06,1.603603573592799e-05,0.00015749673830269852,7.232838984076311e-05,6.562223491312601e-05,9.659386450723405e-07,3.987222598202348e-06,1.4592952305534714e-05,0.00015919105776807848,7.346633230514997e-05,6.674131872015337e-05,9.40407644783699e-07,3.704119268783025e-06,1.433887982920841e-05
0_00011,0.00011,0.00016143944873107314,7.844528618565693e-05,6.430635340956572e-05,7.776067890402552e-07,4.0020300665286625e-06,1.3908172280281564e-05,0.00017874803503797,0.00014544969702096923,4.789154170203766e-06,1.64768323660452e-07,0.0,2.8344415523136493e-05,0.0001803630387725492,0.0001292712861189751,2.230951258982433e-05,7.063708609573381e-07,0.0,2.807586920279241e-05,0.00017193138911014805,8.618438008450758e-05,6.554751578413277e-05,6.741799317949245e-07,0.0,1.952531330971279e-05,0.00015496892623136592,7.524423318052257e-05,6.215113704361358e-05,7.723965567160066e-07,3.2411937904485807e-06,1.3559965660065156e-05,0.00013623494456376588,5.504924243890289e-05,6.5975218862638e-05,8.454352573018061e-07,3.6983586737456006e-07,1.3995212137548624e-05,0.0002282083914637889,9.807502773336676e-05,7.377622822179924e-05,1.2814823079485227e-05,3.032246546937547e-05,1.3219846959762225e-05,0.00016991002366633027,8.717101512225185e-05,6.220013584183001e-05,7.521379357616998e-07,3.870952100109945e-06,1.5915782666376763e-05,0.00016513209620579275,8.26168999692033e-05,6.405700468214057e-05,5.111527690704786e-07,4.231013657891854e-06,1.371602512748656e-05,0.0001673974078489292,8.105015224366907e-05,6.550436644736859e-05,1.328914276250368e-06,4.4321086963448336e-06,1.5081866185296344e-05,0.00015836437690878964,7.674392548042402e-05,6.366307040446693e-05,6.703544791907925e-07,3.7171214325760597e-06,1.356990511213188e-05,0.00016447593238348452,7.454670610660256e-05,7.212678559009546e-05,6.435124886370279e-07,3.572104243846833e-06,1.3586823954302627e-05,0.00017995700321872394,8.959377684825011e-05,6.590950557935305e-05,2.67122979010861e-07,4.707344192432305e-06,1.9479253619677605e-05,0.00020600058454811322,0.0001039360867680845,7.164951873178401e-05,1.5768568459982018e-07,5.3562435105579424e-06,2.490104985308695e-05,0.0001691174449455816,8.910548700264021e-05,6.0100072436454774e-05,1.0979528566231973e-07,4.465594565697319e-06,1.5336495655126985e-05,0.0001591177146337065,7.746705995417312e-05,6.266033790781059e-05,7.368968328382469e-07,4.064906216368318e-06,1.418851372251626e-05,0.00016078293609875086,7.876031431774621e-05,6.390105679493442e-05,8.850429785859322e-07,3.939798660587056e-06,1.3296723346897264e-05
0_00012,0.00011999999999999999,0.0001631905761515352,8.034338611627349e-05,6.27047193648569e-05,8.923092935510073e-07,4.029312192090461e-06,1.5220849184763314e-05,0.00017850056655575224,0.00014301084442857085,4.778743091990146e-06,2.528330874386368e-07,0.0,3.0458145947752587e-05,0.00017957136351676804,0.00012793920379026394,2.133586937242076e-05,6.13765699850641e-07,0.0,2.9682524654232726e-05,0.00016854153848285618,8.544229924679163e-05,6.148940318228036e-05,9.553382063204985e-07,0.0,2.0654497847463706e-05,0.00015548678195142636,7.691735888656617e-05,6.019433555811924e-05,7.652813837278815e-07,3.180288251674068e-06,1.4429517871339013e-05,0.00013539473521833096,5.1097620184854605e-05,6.413863828640393e-05,6.523482741085106e-07,3.8840632945919545e-07,1.9117722143504754e-05,0.00023009682930098306,9.888740663165125e-05,7.405464378530448e-05,1.2961642111038687e-05,3.119695050394712e-05,1.2996186269041455e-05,0.00017136538546485132,8.950314091047426e-05,5.998609763245448e-05,8.536223898849969e-07,3.854617594889368e-06,1.7167906937148195e-05,0.00016703057628242505,8.484107756032566e-05,6.315486971677562e-05,1.9976621314139407e-07,4.214552005478106e-06,1.4620310786704215e-05,0.00016509483820920432,8.16174143003795e-05,6.28165548128812e-05,1.1839480037895255e-06,4.222118264578049e-06,1.5254802827576059e-05,0.00016062571158336758,7.884611465606074e-05,6.232123624858034e-05,6.573276177605536e-07,3.820683300799452e-06,1.4980349760166476e-05,0.00016814619269073404,7.79832069336294e-05,7.108234475233914e-05,7.23799612792972e-07,3.91385992324196e-06,1.4442981468730523e-05,0.00018275414101565684,9.239994374130038e-05,6.451204700538405e-05,1.645926653347544e-07,4.776511297608289e-06,2.0901046306029403e-05,0.00020593132771277452,0.00010741280820178831,6.821582240352242e-05,9.427817847008481e-08,5.436802326743065e-06,2.477161660225076e-05,0.00016927283967915866,9.20874139142069e-05,5.744899510118109e-05,6.128644239076923e-08,4.441105012346883e-06,1.5234039209033005e-05,0.00015983694327220002,7.881190588246769e-05,6.141894896121679e-05,8.763372697654028e-07,3.830890305792319e-06,1.4898860852957888e-05,0.00016460155130563602,8.247657521316017e-05,6.290134239689202e-05,7.667338403455707e-07,3.940762834908806e-06,1.451613702032942e-05
0_00014,0.00014,0.0001653718751944109,8.1331994155904e-05,6.177184162567925e-05,6.966596518831551e-07,3.986766388889975e-06,1.7584613372054506e-05,0.00017517733781997433,0.00013608483703610562,4.967040352145235e-06,8.566520385114451e-08,0.0,3.403979522787229e-05,0.00017897522067708303,0.00012404106615256964,2.114397158497404e-05,4.2081644528989703e-07,0.0,3.336936649424947e-05,0.0001698406080343096,8.485719743546891e-05,6.053736388721156e-05,8.088906982944052e-07,0.0,2.363715601333477e-05,0.0001558640029269415,7.635874188313801e-05,5.898931760340818e-05,6.721355767525877e-07,3.0081157868457267e-06,1.6835692076796978e-05,0.0001327293343323057,4.6039324655109604e-05,6.244241974298232e-05,5.790935395114525e-07,3.772689263273519e-07,2.3291227468374944e-05,0.00022905238736873446,9.832979312617663e-05,7.325331878580807e-05,1.074909819760202e-05,3.279239063886988e-05,1.392778662027798e-05,0.00017505281249164623,9.19290135650678e-05,5.893089850619767e-05,6.646196415394272e-07,3.803411380468322e-06,1.9724869398373002e-05,0.00017040256889786442,8.541823642457461e-05,6.270090161533322e-05,2.079464541341805e-07,4.207627260003755e-06,1.7867857143818694e-05,0.00016974483088441468,8.354219553207081e-05,6.245149668984934e-05,1.069390155012006e-06,4.194206367003613e-06,1.848754214047884e-05,0.00016220048323850058,7.89645250771404e-05,6.149873801977233e-05,4.35277915280426e-07,3.7385382072198335e-06,1.7563404019087548e-05,0.00016770703626287707,7.962921360021817e-05,6.633413430714119e-05,6.061734513394953e-07,3.7547359227877473e-06,1.738277898139042e-05,0.00019004014746465267,9.6851582926213e-05,6.461118058704187e-05,3.455478075624057e-07,4.6081883333303735e-06,2.362364781050501e-05,0.00022142242416121302,0.00011571205503030864,7.068905091295088e-05,9.749564851035202e-08,5.4293169478501225e-06,2.949450562159309e-05,0.00017273623595184898,9.475580878727702e-05,5.6745592230480835e-05,3.4153046717273564e-08,4.252544369550103e-06,1.6948137517823786e-05,0.00016113582041084635,7.877887982604834e-05,6.04566983798566e-05,7.031999001834893e-07,3.963966082602555e-06,1.723307622215535e-05,0.00016382590425617082,8.176125750340478e-05,6.098998488798332e-05,8.031459154918168e-07,3.6492404190535015e-06,1.66222755302374e-05
0_00016,0.00016,0.00016669241724945747,8.512175405140446e-05,6.110702273783074e-05,8.03442498804082e-07,3.853997077746809e-06,1.5806200883671443e-05,0.00017955172455720592,0.00014143222677486292,5.05099089799068e-06,1.7758533964213067e-07,0.0,3.289092154471021e-05,0.00018521877936846195,0.00013205082711812606,2.1256156423122547e-05,3.5727925997043844e-07,0.0,3.1554516567242875e-05,0.00016982277102156832,8.812924791877055e-05,5.91018971819933e-05,7.332420615675066e-07,0.0,2.185838385923696e-05,0.00015731470580759716,7.990401043649974e-05,5.8644665685461205e-05,8.444946708048625e-07,2.988778842028045e-06,1.4932756172803327e-05,0.00013470484228554755,4.916852641505066e-05,6.24176841272803e-05,3.4264267465500165e-07,2.8576150340081126e-07,2.2490227565160848e-05,0.00023460782128480683,0.00010239821054816028,7.536688938800016e-05,1.0431612272517807e-05,3.410382838366996e-05,1.2307280692458627e-05,0.00017792311829126147,9.723703725955432e-05,5.8153500859133604e-05,7.646092372217949e-07,3.6677195571024763e-06,1.8100251378249287e-05,0.00017201689127834734,9.0208240595073e-05,6.182738934855486e-05,1.3840138767102516e-07,3.841627956791852e-06,1.600123199025659e-05,0.00016803884544281154,8.640883138879169e-05,6.061281016277622e-05,7.815472314124047e-07,3.9493157819196194e-06,1.6286340877911608e-05,0.00016344081235086544,8.301411596702509e-05,6.070260143431875e-05,5.412157042864281e-07,3.5869182194941993e-06,1.5595961025740946e-05,0.00016896648969257834,8.426567391469162e-05,6.414071276966215e-05,4.560654393788328e-07,3.5711669152857836e-06,1.653287065355995e-05,0.00019522234324562807,0.00010299991283061434,6.488375801599388e-05,2.418087084279553e-07,4.552054776473624e-06,2.254480891411837e-05,0.00022845498082262305,0.00012376955915295045,7.146725629971664e-05,1.2306229839494872e-07,5.39877821522218e-06,2.7696324856338814e-05,0.0001807198226348275,0.0001034062960897226,5.784493805590121e-05,8.266740433281173e-08,4.0943909317636565e-06,1.5291530153107246e-05,0.00016207943959576978,8.239492589611921e-05,5.98474006639068e-05,5.995888477768961e-07,3.7629564063906265e-06,1.5474567781576286e-05,0.00016587137045015877,8.701051906537621e-05,5.951205929547543e-05,6.805315904913682e-07,3.670368320271634e-06,1.499789217854412e-05
0_00017,0.00016999999999999999,0.00016139510235143944,8.452870531991524e-05,5.933237233615752e-05,5.290971946064387e-07,3.3617395040388107e-06,1.364318799672142e-05,0.000175652038798005,0.0001400860322055229,5.404200548407417e-06,1.4830663347162135e-07,0.0,3.0013499410603088e-05,0.0001826640762269401,0.00013178474914728592,2.186614853598969e-05,4.704853475353117e-07,0.0,2.8542693196129328e-05,0.00017054679194840753,9.087167226502062e-05,5.92697870549576e-05,7.432372977421259e-07,0.0,1.966209533068721e-05,0.00015462029171091062,8.087154804264763e-05,5.730474184899026e-05,4.646985957365915e-07,2.8312037259210263e-06,1.3148099497615105e-05,0.00013613795911541766,5.227603848651397e-05,6.285923284803144e-05,3.6212212729243935e-07,2.808173045579779e-07,2.0359748349021805e-05,0.00022541948380694023,9.970114977353476e-05,7.172215469797898e-05,9.624742791757367e-06,3.345813254184085e-05,1.0913304001828296e-05,0.00017358165169320278,9.726079856222672e-05,5.6355784199966884e-05,5.025534315585968e-07,3.1930876613652736e-06,1.6269427838085302e-05,0.00017074042641126468,9.163121600001336e-05,6.12368811540535e-05,1.7618852716555195e-07,3.794708889327237e-06,1.3901431840705012e-05,0.0001670608155997767,8.754213291417203e-05,6.048776353734821e-05,9.315143096874594e-07,3.68483520942873e-06,1.4414569629140348e-05,0.00015803649613030596,8.223317861483261e-05,5.890384827657677e-05,3.6955842439137404e-07,3.172845832421831e-06,1.3357064982083338e-05,0.0001635708147608386,8.327676462864396e-05,6.182646165273145e-05,5.37941154543063e-07,3.3687247900190718e-06,1.4560922534901108e-05,0.00018631884456222944,0.00010025972186218922,6.198363120925028e-05,1.1859179105507732e-07,4.232695388407292e-06,1.9724204311327594e-05,0.00022039913257411117,0.00012301786968534442,6.883696060634759e-05,5.437206460885622e-08,4.605586357697889e-06,2.388434386011243e-05,0.00017428910451074532,0.00010224632939285012,5.5520508898608e-05,2.5378754405533983e-08,3.817747109463242e-06,1.2679140355418382e-05,0.00015685569868592977,8.220490571464086e-05,5.727488740741271e-05,4.444440303228825e-07,3.4260504180930987e-06,1.3505411115460228e-05,0.00015970741997461857,8.633569310747139e-05,5.640431096897807e-05,4.798438366426454e-07,3.4491228475984573e-06,1.3038449213928016e-05
0_00019,0.00018999999999999998,0.00017053096906117555,9.540480241543863e-05,6.143339181178588e-05,4.7286672775960036e-07,3.3228679323162555e-06,9.897040173875178e-06,0.00018139193825569881,0.00015031249849587416,5.681336497442665e-06,1.5158003911068954e-07,0.0,2.5246523223271226e-05,0.00019387720285624286,0.0001464804524282285,2.2465238760702906e-05,3.990790369717185e-07,0.0,2.453243263033977e-05,0.00017683702746891487,0.0001001207800420888,6.144344516213087e-05,7.599675905751243e-07,0.0,1.4512834674120055e-05,0.000159438358891774,8.907672608694313e-05,5.802365857076382e-05,6.25324498931886e-07,2.411576722951942e-06,9.301073012183247e-06,0.00013825188364300866,5.948306915022401e-05,6.332541606829865e-05,2.40335754407587e-07,7.603862300114865e-08,1.5127024047077207e-05,0.00023214221210123486,0.000108379577618386,7.344623329904978e-05,8.945293414452035e-06,3.300905731832142e-05,8.362050451025541e-06,0.0001837295812912797,0.00010885913421469017,5.860504441803454e-05,4.5109629741858814e-07,3.1698855789254474e-06,1.2644420782211e-05,0.00018111524887180826,0.000103240911383889,6.398614363430259e-05,2.064897257322841e-07,3.462941689784033e-06,1.0218762438100267e-05,0.0001705058806465385,9.557396970525186e-05,6.092011893410764e-05,6.915029408098678e-07,3.4277422410118026e-06,9.892546825357347e-06,0.00016747402831405518,9.30383218921305e-05,6.121538419728087e-05,3.262657676348697e-07,3.046431464012921e-06,9.847624992996034e-06,0.0001681194031404941,9.169154512443209e-05,6.201007284651712e-05,4.517801618285575e-07,3.089633638497618e-06,1.08763713692187e-05,0.00020076898344763785,0.00011428906600027744,6.562585301296656e-05,1.8222142912362527e-07,3.9106499996532065e-06,1.6761193005616908e-05,0.0002345093028813441,0.0001376228211532931,7.171412608380988e-05,9.205723131298329e-08,4.320347964317309e-06,2.075995044861093e-05,0.00018282212955494605,0.00011344527443490859,5.708080201763127e-05,1.4689819096631392e-07,3.579791249511499e-06,8.569363661928339e-06,0.0001638866329753262,9.089447018327769e-05,5.9344774139597776e-05,6.905020738642053e-07,3.1559451112080465e-06,9.800941467378503e-06,0.00016496767923137264,9.527090374417181e-05,5.641578818787875e-05,7.654984397358589e-07,3.304486411024635e-06,9.211002448561599e-06
0_00022,0.00022,0.00016987632457737147,9.82168902953755e-05,6.072286150157837e-05,7.789346539943131e-07,3.534384985076825e-06,6.623253141346465e-06,0.00018837894406766007,0.0001600766469566577,5.283497637985493e-06,1.0096319266377742e-07,0.0,2.291783628035324e-05,0.00019953554932607232,0.00015611695102153426,2.1978128972526363e-05,4.82401406390251e-07,0.0,2.095806792562141e-05,0.00018607859483004744,0.00011042336968518288,6.276545627655522e-05,9.154593586041565e-07,0.0,1.1974309509705125e-05,0.00015854322597923942,9.127989833064306e-05,5.726711162705729e-05,7.069834679710497e-07,2.8516873630220162e-06,6.437545190546013e-06,0.000142513029410298,6.739261541150677e-05,6.39470874144463e-05,3.6828194075607686e-07,2.5907449180570784e-07,1.054597015178314e-05,0.00024451648195260176,0.00011480166285178384,7.701776755697822e-05,1.0686159087344363e-05,3.6028112853608316e-05,5.9827796028869824e-06,0.00018439222434811001,0.00011291283022217122,5.7684321119586866e-05,7.399571693605765e-07,3.3575262001465195e-06,9.697589636844806e-06,0.0001812490947784512,0.000107109729935753,6.326416193233494e-05,3.9431004110005257e-07,3.945841490276658e-06,6.535051378986466e-06,0.00016643452247986718,9.629896977350684e-05,5.881249506103899e-05,7.312206133505894e-07,3.647894429884872e-06,6.943942602085913e-06,0.0001671014850871788,9.59168770276038e-05,6.0466756896644495e-05,7.148403210230118e-07,3.31449946613645e-06,6.688511375771035e-06,0.0001683914790524607,9.53476970986689e-05,6.147692656836334e-05,5.199456384717843e-07,3.4777997384825005e-06,7.5691100084742215e-06,0.0002019124556907151,0.00011855685474784929,6.526433215175245e-05,3.354656307304836e-07,4.5715829795391455e-06,1.318422018084374e-05,0.00023606900467551192,0.00014225809731338275,7.194444084563308e-05,2.9697345521267005e-07,5.195560820707203e-06,1.6373932240576253e-05,0.00018535252576892325,0.00011777163486633315,5.765768117379346e-05,2.594163638159761e-07,4.081335202963745e-06,5.582458162016957e-06,0.0001651203405317548,9.451278770777476e-05,5.92738849143469e-05,9.897578248552286e-07,3.6675152708396444e-06,6.676394813938271e-06,0.00016366250032765376,9.847500164073339e-05,5.443980024240089e-05,1.0584405277108437e-06,3.728885715502173e-06,5.960372201306456e-06
0_00024,0.00023999999999999998,0.00017458161405818946,0.00010071491433619046,6.170069429797226e-05,8.684231397228761e-07,4.1825937523459805e-06,7.114988531957843e-06,0.00019221837067216228,0.00016353435012352545,5.295949746130133e-06,2.1813955110131674e-07,0.0,2.316993125140537e-05,0.00020225943975358138,0.000159061834032477,2.1357105976461035e-05,6.071968883511133e-07,0.0,2.1233302856292265e-05,0.00019465720984990995,0.00011558435180496028,6.517580346803943e-05,1.1956176807675518e-06,0.0,1.2701436896142705e-05,0.00016160746340084957,9.321965422149424e-05,5.785374157827378e-05,9.62578060859422e-07,3.1254212099376565e-06,6.446068330284518e-06,0.0001455708601435813,7.185009571290659e-05,6.429651580967168e-05,3.7711042659833156e-07,3.092168117462259e-07,8.737921382658483e-06,0.0002525045780964393,0.00011798642141472249,7.87153788749585e-05,1.223451564386694e-05,3.7490900476700565e-05,6.077361686190839e-06,0.00019077989552203256,0.00011694478387584204,5.8960607467509486e-05,8.298570451999821e-07,3.996847543354686e-06,1.0047799590126414e-05,0.00018672536346063878,0.00011035181507095625,6.459634811125544e-05,4.52582369960211e-07,4.502329962969213e-06,6.822287945497621e-06,0.00017287232360222812,9.975668086448052e-05,6.059344522297673e-05,1.0573887463875844e-06,4.381997257815519e-06,7.082811510567764e-06,0.00017157996700407094,9.83159389509593e-05,6.178189248990775e-05,6.550152552456238e-07,3.829022224240913e-06,6.998098083717337e-06,0.00017227327949219886,9.691675662704248e-05,6.246357331805768e-05,8.512252524153705e-07,3.990170214118702e-06,8.051554080564612e-06,0.00019865511702287438,0.00011685710553122476,6.374564613799702e-05,3.0674323498525876e-07,5.1112194810365835e-06,1.263440263763068e-05,0.0002430750773953828,0.00014617211703078076,7.338063273250649e-05,2.323081626068067e-07,6.01689960213216e-06,1.7273119867356586e-05,0.00018946174423751017,0.00012026601766841736,5.813772999279539e-05,6.254100956914201e-08,4.95694995344754e-06,6.038505613280747e-06,0.00017085375106557638,9.771721647423596e-05,6.0917571504792675e-05,1.029685107030522e-06,4.039075493565225e-06,7.150202485951933e-06,0.00016364233274569198,9.927615680479353e-05,5.2879322335540454e-05,1.3417665083959662e-06,4.012538328371905e-06,6.1325487685901245e-06
0_00027,0.00027,0.0001761337432543219,0.00010202716863811247,6.125172073364994e-05,1.288628355002176e-06,4.515136490645664e-06,7.051089036911632e-06,0.00019863833405905158,0.00017013664362389974,5.581999858557113e-06,2.2182338797219423e-07,0.0,2.2697867188622465e-05,0.00020644573842398603,0.00016264248477742375,2.1794882964869675e-05,6.434326773710307e-07,0.0,2.136493800432157e-05,0.0001948125053193965,0.00011644914794388137,6.459795002879476e-05,1.1182139197801524e-06,0.0,1.2647193426940226e-05,0.00016277975073200732,9.457082221184754e-05,5.7365903911498315e-05,1.079072576309493e-06,3.4719215269886193e-06,6.292030505363309e-06,0.00014886631601983088,7.586632189976561e-05,6.470162752148733e-05,6.257992874864052e-07,4.1904069037704866e-07,7.253526620714467e-06,0.00026560202165947075,0.00012340903257658626,8.140849343900429e-05,1.4385797026394067e-05,3.990969494202752e-05,6.489003675458583e-06,0.00019412316557543825,0.00012000607382950356,5.8507032780191526e-05,1.2308849531826685e-06,4.3128133463215315e-06,1.0066360666238896e-05,0.00018672718294515992,0.00011093662001635627,6.388807500213114e-05,5.483155266386333e-07,4.795929221341777e-06,6.558243178691995e-06,0.00017313015943861456,0.0001004572053543586,5.955020017390966e-05,1.46780603372994e-06,4.981973766835715e-06,6.672974109780668e-06,0.00017213310789810184,9.935113774061896e-05,6.101735576352362e-05,1.015635658406491e-06,4.017470592482949e-06,6.7315081430698364e-06,0.00017486216909579658,9.892454344387935e-05,6.238155196650089e-05,1.225404050328752e-06,4.384313227008738e-06,7.946356408078868e-06,0.0002042875443989719,0.00011992939647361724,6.482794782638539e-05,6.077187544616035e-07,5.728640807820424e-06,1.3193840536687226e-05,0.0002392147328487748,0.00014497331274663028,7.129989680915151e-05,3.758432904584017e-07,6.466706010824016e-06,1.6098973991710653e-05,0.00019273146559698292,0.00012273939806875045,5.8314841153606726e-05,2.81825262903923e-07,5.601592767164759e-06,5.7938083445570725e-06,0.0001734736111922246,0.00010036019689552704,6.033673811405493e-05,1.3214860443037201e-06,4.627048727410047e-06,6.828141410928915e-06,0.00016733626838991543,0.00010310598126374301,5.232762700643607e-05,1.6557923483503338e-06,4.3031697497364875e-06,5.943698021649552e-06
