Z_i_label,Z_i,A total  [Msun^{-1}],A I_classic  [Msun^{-1}],A II_only_stable_MT  [Msun^{-1}],A III_single_core_CE  [Msun^{-1}],A IV_double_core_CE  [Msun^{-1}],A V_other  [Msun^{-1}],B total  [Msun^{-1}],B I_classic  [Msun^{-1}],B II_only_stable_MT  [Msun^{-1}],B III_single_core_CE  [Msun^{-1}],B IV_double_core_CE  [Msun^{-1}],B V_other  [Msun^{-1}],C total  [Msun^{-1}],C I_classic  [Msun^{-1}],C II_only_stable_MT  [Msun^{-1}],C III_single_core_CE  [Msun^{-1}],C IV_double_core_CE  [Msun^{-1}],C V_other  [Msun^{-1}],D total  [Msun^{-1}],D I_classic  [Msun^{-1}],D II_only_stable_MT  [Msun^{-1}],D III_single_core_CE  [Msun^{-1}],D IV_double_core_CE  [Msun^{-1}],D V_other  [Msun^{-1}],E total  [Msun^{-1}],E I_classic  [Msun^{-1}],E II_only_stable_MT  [Msun^{-1}],E III_single_core_CE  [Msun^{-1}],E IV_double_core_CE  [Msun^{-1}],E V_other  [Msun^{-1}],F total  [Msun^{-1}],F I_classic  [Msun^{-1}],F II_only_stable_MT  [Msun^{-1}],F III_single_core_CE  [Msun^{-1}],F IV_double_core_CE  [Msun^{-1}],F V_other  [Msun^{-1}],G total  [Msun^{-1}],G I_classic  [Msun^{-1}],G II_only_stable_MT  [Msun^{-1}],G III_single_core_CE  [Msun^{-1}],G IV_double_core_CE  [Msun^{-1}],G V_other  [Msun^{-1}],H total  [Msun^{-1}],H I_classic  [Msun^{-1}],H II_only_stable_MT  [Msun^{-1}],H III_single_core_CE  [Msun^{-1}],H IV_double_core_CE  [Msun^{-1}],H V_other  [Msun^{-1}],I total  [Msun^{-1}],I I_classic  [Msun^{-1}],I II_only_stable_MT  [Msun^{-1}],I III_single_core_CE  [Msun^{-1}],I IV_double_core_CE  [Msun^{-1}],I V_other  [Msun^{-1}],J total  [Msun^{-1}],J I_classic  [Msun^{-1}],J II_only_stable_MT  [Msun^{-1}],J III_single_core_CE  [Msun^{-1}],J IV_double_core_CE  [Msun^{-1}],J V_other  [Msun^{-1}],K total  [Msun^{-1}],K I_classic  [Msun^{-1}],K II_only_stable_MT  [Msun^{-1}],K III_single_core_CE  [Msun^{-1}],K IV_double_core_CE  [Msun^{-1}],K V_other  [Msun^{-1}],L total  [Msun^{-1}],L I_classic  [Msun^{-1}],L II_only_stable_MT  [Msun^{-1}],L III_single_core_CE  [Msun^{-1}],L IV_double_core_CE  [Msun^{-1}],L V_other  [Msun^{-1}],M total  [Msun^{-1}],M I_classic  [Msun^{-1}],M II_only_stable_MT  [Msun^{-1}],M III_single_core_CE  [Msun^{-1}],M IV_double_core_CE  [Msun^{-1}],M V_other  [Msun^{-1}],N total  [Msun^{-1}],N I_classic  [Msun^{-1}],N II_only_stable_MT  [Msun^{-1}],N III_single_core_CE  [Msun^{-1}],N IV_double_core_CE  [Msun^{-1}],N V_other  [Msun^{-1}],O total  [Msun^{-1}],O I_classic  [Msun^{-1}],O II_only_stable_MT  [Msun^{-1}],O III_single_core_CE  [Msun^{-1}],O IV_double_core_CE  [Msun^{-1}],O V_other  [Msun^{-1}],P total  [Msun^{-1}],P I_classic  [Msun^{-1}],P II_only_stable_MT  [Msun^{-1}],P III_single_core_CE  [Msun^{-1}],P IV_double_core_CE  [Msun^{-1}],P V_other  [Msun^{-1}],Q total  [Msun^{-1}],Q I_classic  [Msun^{-1}],Q II_only_stable_MT  [Msun^{-1}],Q III_single_core_CE  [Msun^{-1}],Q IV_double_core_CE  [Msun^{-1}],Q V_other  [Msun^{-1}]
0_0001,0.0001,0.0007929838428428277,0.00026368022541303944,0.00012427945125980934,0.0002267920641197749,4.651239789939338e-05,0.00013171970415081101,0.0014541007366557026,0.00027286875359469197,0.0007523090621817692,0.00017943530794999144,0.0,0.0002494876129292498,0.0012161901887443064,2.377249900496057e-05,0.0006984460724073173,0.00031573562521251846,0.0,0.00017823599211950992,0.0012055168760444596,3.9321481368893454e-05,0.0003589482979473642,0.0004964888903347627,1.1381034305551132e-05,0.00029937717208788813,0.0036308085902643406,6.704476255544948e-05,0.0009638839163833431,0.0014785554593547002,0.0,0.001121324451970848,0.0015416005468671485,9.157830394654768e-05,0.0004933206559003568,0.000795525634136633,0.0,0.00016117595288361107,0.0005807476634342289,9.769974916134659e-05,1.912081749893884e-05,0.00032738748577296564,6.243081499377895e-05,7.4108796007199e-05,0.0008050359826311061,0.00028405530926095264,0.00012229963458553042,0.00022317918439117203,4.577143855343194e-05,0.00012973041584001923,0.0005058255954893882,0.00032550375190515667,4.707170159062613e-05,6.583738122886706e-05,3.202325037508184e-05,3.538951038965646e-05,0.0015895366125864686,0.00030358652245933014,0.0004160676303046386,0.0004781553535322312,0.00010621846493461288,0.00028550864135565664,0.0006521577349365531,0.0002570464276026806,9.773515354679759e-05,0.00014046418931895152,4.620939753174456e-05,0.00011070256693637886,0.0008817413380657648,0.00028644926417301266,0.00013245217854729243,0.0002350680663409925,4.856654658503368e-05,0.0001792052824194337,0.0009814221939211127,0.00014410146275778174,0.00013109600350238258,0.00019035964443614087,3.99217234547688e-05,0.0004759433597700387,0.0008988735042230828,7.136106204323215e-05,2.163303400332168e-05,6.90068230072312e-05,1.6175234604354945e-05,0.0007206973505649428,0.0006167467624874067,0.00021202855908460626,7.257465076666617e-05,0.00022501610719103285,3.569498060755939e-05,7.143246483754221e-05,0.0008365155938691736,0.0002648006975491251,0.0001439798187188147,0.0002212682573436118,4.2159211168729096e-05,0.00016430760908889267,0.0009173363401704491,0.0003091798258917298,0.00016700919689676612,0.0002518094952174931,4.315997976497003e-05,0.00014617784239949006
0_00011,0.00011,0.0008363438692039061,0.00025536684720005467,0.00015553924894235848,0.00014813476136341818,3.5025786885161527e-05,0.00024227722481291332,0.0013168662262165794,0.0003006875496153253,0.000581852865444524,0.00019272404654730377,0.0,0.00024160176460942675,0.0014559926536603885,2.879215634314163e-05,0.0008379056544724926,0.00033231336958431523,0.0,0.00025698147326043874,0.001004836172713356,2.686110869870225e-05,0.00030639562443624224,0.00031700183980378773,1.1356849786328156e-05,0.0003432207499882956,0.0023157293128781052,0.00010523654060182496,0.0005688144385502409,0.0005705169989129196,0.0,0.0010711613348131186,0.0014718447812229346,0.00014352609135362168,0.0005304614445775616,0.0004524777149578378,0.0,0.00034537953033391376,0.0006727700298066878,0.00011869408236774605,2.350597453588569e-05,0.00036722017438697364,8.369620890792969e-05,7.965358960815272e-05,0.0008595258722701388,0.000275964012604092,0.00015367655998348506,0.00014636074621101608,3.460632911517435e-05,0.000248918224356371,0.0005456635999378299,0.0003338467194348007,4.524098286618965e-05,5.745667847969585e-05,2.6240528030108586e-05,8.287869112703509e-05,0.0011633872394307336,0.00020850115088190884,0.00025149074368989053,0.00026040619076936577,8.860653508958878e-05,0.00035438261899997957,0.0006149019411870072,0.00024784164963576006,8.329574610144153e-05,0.00011039283865208984,2.896784570033493e-05,0.00014440386109738088,0.0008593006370411178,0.00028639465828301136,0.00016653843544456586,0.0001426504343593326,4.0655104235278086e-05,0.00022306200471892973,0.0008842556044120869,0.00013461063034999658,9.652215181385334e-05,0.00013014843063294541,3.1985129281113876e-05,0.0004909892623341779,0.0007934166702295541,6.66754162562442e-05,1.6977109478530676e-05,4.9228781301503295e-05,1.2138697856274793e-05,0.0006483966653370013,0.0006656347838193522,0.00022285400325850518,9.485197793695302e-05,0.00019743092735099367,3.1710603650241196e-05,0.00011878727162265933,0.0007796549744867443,0.0002455600371953871,0.00013450856861898968,0.00014637127582957382,4.180416609157038e-05,0.0002114109267512234,0.0007744270860932175,0.00025591289543470394,0.00014668477772000405,0.00012599640672069975,3.744797763900949e-05,0.00020838502857880025
0_00012,0.00011999999999999999,0.0006106394484281813,0.00020589400958170582,9.175431779013943e-05,0.00010026897307086328,2.641443538907849e-05,0.0001863077125963943,0.0009008226176886856,0.00024982048479640163,0.0004027754943685272,9.636461242979217e-05,0.0,0.00015186202609396442,0.0009615935600595033,1.7772961515425245e-05,0.0005393092626116146,0.00018022699559262526,0.0,0.00022428434033983785,0.0011168816153080002,2.502926256048413e-05,0.0003013744723543721,0.0003326570568058867,0.0,0.00045782082358725753,0.0020016813632995943,0.00014100431245745612,0.0002551216459081505,0.0004280352475712296,0.0,0.001177520157362758,0.0015635792220540829,9.343982482846883e-05,0.0005394614264881193,0.0004923466754061963,0.0,0.00043833129533129856,0.000612950056771957,0.00011589124205974072,2.226414847375464e-05,0.00032622970103069816,7.80486369663553e-05,7.051632824140827e-05,0.0006315851329294492,0.00021715348551137488,9.068649036924916e-05,9.910205295758355e-05,2.610702687583221e-05,0.0001985360772154096,0.00046432643111044816,0.00029412246735593847,2.8468874481317585e-05,3.9545227040599213e-05,1.9210042782047606e-05,8.297981945054532e-05,0.0011646078860862866,0.00023741688284397642,0.0002192051347835792,0.0001678358600502982,7.753799384199205e-05,0.00046261201456644055,0.0004972731786192396,0.0002109128890727048,5.753053342692847e-05,6.97259261461046e-05,2.104221405298978e-05,0.00013806161592051216,0.0006595115041433435,0.00022984755476946402,9.97443131392866e-05,0.00010769292707070094,2.5618240247902875e-05,0.0001966084689159892,0.0008222662851289024,0.00012751598067050064,8.507045231709453e-05,0.00010536814246222084,2.389157036651743e-05,0.00048042013931256887,0.0006642854717609808,5.5340785966334376e-05,1.2457011850239908e-05,3.827332821859105e-05,9.954990894498478e-06,0.0005482593548313169,0.0005788303655554518,0.0002079342505488633,6.973946539650263e-05,0.00015915268977826348,2.1383371040817345e-05,0.00012062058879100524,0.0006120959076371383,0.0001961195404047032,8.426192187881912e-05,0.00011939801236339421,1.9412980789740625e-05,0.0001929034522004812,0.000577592718251255,0.00019528585483622664,9.352808234711737e-05,0.00011230294289472375,2.5081338581020967e-05,0.00015139449959216628
0_00014,0.00014,0.0005211440884976262,0.00020531374762799442,8.191571738655957e-05,6.634339627808759e-05,1.2095520576652047e-05,0.00015547570662833245,0.0006802561024900767,0.00023452380422023285,0.00033229774227485845,4.1304193153024136e-05,0.0,7.213036284196153e-05,0.0013981768571497918,2.7483171377242205e-05,0.0007909894772084706,0.0001158064545441915,0.0,0.0004638977540198872,0.0013879261449234587,3.017059037218077e-05,0.000289562108972263,0.00028707207774762754,0.0,0.0007811213678313871,0.0019935790073329967,0.00014372935894631732,0.00048331344899008076,0.00024309715090584848,0.0,0.0011234390484907506,0.001846467563580195,5.438222147086911e-05,0.0007915049682551488,0.00027529358857961687,0.0,0.0007252867852745601,0.0006373921861540669,0.00014038128622174053,3.0093340323332813e-05,0.0003117768498028081,9.663100498560285e-05,5.850970482058258e-05,0.0005549761210937467,0.00021500095083057123,8.060586965626079e-05,6.52825528916458e-05,1.1902110927324975e-05,0.000182184636787944,0.0004394259320615541,0.00029566776056364315,2.78631759188218e-05,2.6819482050259452e-05,1.44889456956595e-05,7.458656783317022e-05,0.0009537893082913973,0.00025346297967961806,0.00017872114907838265,0.00010002896720567074,5.338610796608436e-05,0.00036819010436164136,0.0004261371283953128,0.00020553398131579312,5.501614225395714e-05,4.975048942880225e-05,1.874942066693037e-05,9.70870947298298e-05,0.0005867935300941205,0.00021526469703622304,9.381666635358036e-05,8.310833122122878e-05,2.6089476189851613e-05,0.00016851435929323663,0.0007657410913746068,0.00013414624149177148,7.185679007265335e-05,7.814162251800975e-05,1.6073654062522405e-05,0.0004655227832296496,0.0007256224861964481,7.188648590472021e-05,1.7535906962619957e-05,3.598759923303949e-05,7.719029813040053e-06,0.0005924934642830284,0.0005635047787709115,0.0002143993828352309,6.6518574234487e-05,0.0001384352667642445,2.139532255024449e-05,0.0001227562323867046,0.0005346835508914724,0.0002071945214612491,8.717321759945214e-05,5.5128060422758165e-05,1.7585031024715466e-05,0.0001676027203832976,0.0005854822583042131,0.00022410658219688585,9.220888471067838e-05,7.932456013097954e-05,1.6701644893864088e-05,0.00017314058637180532
0_00016,0.00016,0.0006201755672131994,0.0002754105585527696,9.003718484755281e-05,7.380030320621757e-05,2.4142096263798623e-05,0.00015678542434286092,0.0008741428220486804,0.00028572698528999904,0.0003802826167727482,5.503339678080721e-05,0.0,0.00015309982320512602,0.001497927632788325,2.0374670480115088e-05,0.0008528151381691742,0.0001542493600897973,0.0,0.00047048846404923846,0.0012747465211841436,2.1957417308411134e-05,0.0002745600661376483,0.0002592370338139966,0.0,0.0007189920039240876,0.0021320406425131386,0.0001964752955064768,0.0002930490039631773,0.0003380504718664714,0.0,0.0013044658711770132,0.0021974848554033163,6.792598968869193e-05,0.0008165867069049455,0.00023341388475829825,0.0,0.0010795582740513805,0.0007219685876242857,0.00017304157313582748,3.5751905508704704e-05,0.00032769184933151963,0.00011563750039674336,6.984575925149054e-05,0.000670798908936333,0.0002825072581640732,8.81384717996445e-05,7.224399512223549e-05,2.363298535303941e-05,0.00020427619849734034,0.0004905030799155164,0.0003639965595373348,3.107326276427367e-05,3.216248222207006e-05,1.7951094663878226e-05,4.53196807279596e-05,0.0007640924619780665,0.0002297728445494914,0.0001274635913205326,6.157024241824795e-05,4.0936252352489005e-05,0.0003043495313373053,0.0005200701493222353,0.0002657014391367678,6.826974673477618e-05,5.7783193927374964e-05,2.3260283796822008e-05,0.00010505548572649432,0.0006683302111765683,0.00028812570807255466,8.900545883944672e-05,7.573755050521701e-05,2.714115462930019e-05,0.00018832033913004968,0.0008606901683363612,0.00016796981149463564,8.625827912379268e-05,6.073747796724316e-05,1.8137961016425383e-05,0.0005275866387342644,0.0007562058787612956,8.264932114293507e-05,1.8207213826988786e-05,2.806375078616483e-05,9.223173118405214e-06,0.0006180624198868017,0.000595272523554747,0.000281628110851347,7.655888305900158e-05,0.00011874087830335522,1.8698017813611232e-05,9.964663352743196e-05,0.0006498549587014832,0.0002808612642890421,0.0001129875718679342,6.0654198123874436e-05,3.647334168715383e-05,0.00015887858273347881,0.0005600360654578676,0.0002548773234650115,9.543281675549164e-05,5.80225925704037e-05,1.7236555574306425e-05,0.00013446677709265438
0_00017,0.00016999999999999999,0.0007073150511898739,0.00030829030839844536,0.00012849356757076773,6.067981946575276e-05,1.4548463598188855e-05,0.00019530289215671911,0.0008210787897251228,0.00028567099272983597,0.0003786682720358277,3.661512362699008e-05,0.0,0.00012012440133246909,0.0014203024008534188,2.8883209787520605e-05,0.0008539245140616853,0.00010578833470105956,0.0,0.0004317063423031533,0.0012054165467074295,2.063797581646541e-05,0.00028438518658865805,0.00016955305680342643,0.0,0.0007308403274988794,0.0018398082852571,0.0002193761948991604,0.000434884193993467,0.00029719611377006087,0.0,0.0008883517825944117,0.0016347429861190302,4.887569462898787e-05,0.0007068713112127441,9.54440846970324e-05,0.0,0.0007835518955802657,0.0007343773819925202,0.00017288316213941854,3.0266168678637187e-05,0.00032103716724049124,0.00012629469599972632,8.38961879342471e-05,0.0007524976263651091,0.00031490222773573884,0.00012532254896538729,5.9182337217148706e-05,1.4189430460408249e-05,0.00023890108198642608,0.0004446825175971262,0.00032179955201561497,3.1200211482883376e-05,2.264124031190004e-05,1.072817257019556e-05,5.831334121653204e-05,0.0007577527359304912,0.00024767363938605193,0.00014657867289045182,4.6973121535840886e-05,2.1927875840995105e-05,0.0002945994262771516,0.0005284720255821012,0.00027571849784515604,8.383014438125814e-05,4.194139759157482e-05,1.4862721265744876e-05,0.00011211926449836721,0.0007080502959599248,0.0003190489903620292,0.000112341736507624,6.0276841236065444e-05,1.8455787768064406e-05,0.00019792694008614173,0.0009497482373567524,0.00019745625438529103,0.00010283008729391736,4.741026531378797e-05,2.7623980821613336e-05,0.0005744276495421428,0.0008136863475693642,9.263958599044556e-05,1.7607470964525072e-05,1.922606254833501e-05,7.600911791365373e-06,0.0006766123162746932,0.0005729714270077664,0.00028108433593000747,8.014604162748544e-05,9.0173939852076e-05,1.915336185567145e-05,0.00010241374774252606,0.0007064144048272859,0.00029126594411999255,0.00011622249218469995,5.33505491223532e-05,1.4189348946628842e-05,0.00023138607045361138,0.0006400592660430481,0.0002936279249003139,0.00011470392767684122,3.708746625104527e-05,1.649220990470494e-05,0.0001781477373101427
0_00019,0.00018999999999999998,0.00044537358773609416,0.00021169497048272438,7.472962332263226e-05,2.7392384679502568e-05,1.3323225089519114e-05,0.00011823338416171584,0.0006501459777966236,0.00023523270913756363,0.0002918550583004693,1.996440552710867e-05,0.0,0.00010309380483148202,0.0009572571242446033,1.6909179250029313e-05,0.0005913938328821357,4.350146303523893e-05,0.0,0.0003054526490771991,0.0013478765506416785,1.6412986659222302e-05,0.00030720881533436567,0.00013461055579138008,0.0,0.0008896441928567105,0.0014006683057899993,0.00018312920863641468,0.00033943665468995934,0.00022700522537138262,0.0,0.0006510972170922426,0.0013309172590912394,3.567511037150099e-05,0.0005616680385009088,6.577895864541921e-05,0.0,0.0006677951515734107,0.0006860656185540334,0.00018104145802014,3.2514547748866996e-05,0.0002614232951090494,0.00013195372450216432,7.913259317381276e-05,0.0005032833997202046,0.00021944923706256641,7.372176597944328e-05,2.702295131667799e-05,1.3143538512170013e-05,0.00016994590684934699,0.00036823674969083787,0.0002757598661161666,2.4100167652581518e-05,1.2096062425501108e-05,9.164006990213688e-06,4.711664650637492e-05,0.0008227396011975381,0.00026213825674156413,0.00016041118494561444,2.651788535659545e-05,3.108480514691401e-05,0.00034258746900685017,0.0003905006527772093,0.00020957382683728417,5.258089575020278e-05,2.4393103402185074e-05,1.4192242092063531e-05,8.976058469547373e-05,0.0004529626414146159,0.00021336839471590853,7.354477731332009e-05,2.220379499681792e-05,1.2892841646677675e-05,0.00013095283274189165,0.0007423236985534483,0.00017545016336478482,7.98289877249894e-05,2.3123827455235226e-05,6.748747129913636e-06,0.000457171972878525,0.0007944486270842848,0.00010234138719084494,1.9730355399060915e-05,8.396227520679401e-06,7.913684545615688e-06,0.0006560669724280838,0.00037920916029574416,0.0002259203841884309,5.061975665927328e-05,3.5604723033420035e-05,5.8243178827427926e-06,6.123997853187707e-05,0.0004318019077956591,0.00021034131327110048,7.576798577612855e-05,2.8771664565178894e-05,1.1123846517051936e-05,0.00010579709766619919,0.00038815899539194,0.00018830197255869822,5.556505997368309e-05,1.8381718852730775e-05,1.2027469901982697e-05,0.00011388277410484518
0_00022,0.00022,0.0004898009496390342,0.00021986758100113325,8.144036604299574e-05,2.692543490769523e-05,2.30176850343726e-05,0.00013854988265283742,0.0005243681425386446,0.0002047856770536704,0.00021658189841341493,2.8388695834005737e-05,0.0,7.461187123755361e-05,0.0011745222180241366,1.649965390703668e-05,0.0006965284953469558,0.0001402066907094102,0.0,0.00032128737806073416,0.0011534521186791085,1.513794514211003e-05,0.000287542153923674,0.0001893903128568496,0.0,0.0006613817067564747,0.0013403289610468168,0.00023193989560948432,0.0003630931544488505,0.00032042534801665916,0.0,0.0004248705629718227,0.0016202382362189266,0.00010012473814322346,0.0007366892835405477,9.860611034645624e-05,0.0,0.0006848181041886986,0.0007179685208617018,0.0001835435142590136,3.1657283315767296e-05,0.0002932879878402564,0.00013502277340535847,7.4456962041306e-05,0.0005605454825496628,0.00022739781589345445,7.977635504079775e-05,2.637528733220771e-05,2.254738163320539e-05,0.00020444864264999749,0.00039046081690832443,0.00028660913436192995,2.647859910568394e-05,1.7794551587248434e-05,1.4845343057550867e-05,4.473318879591119e-05,0.0007621849067534881,0.00028919714455890965,0.0001423585708614205,5.9319110730498364e-05,3.6573714182214056e-05,0.00023473636642044546,0.0004046039871979541,0.00021680349052990595,5.8342678675536375e-05,2.029268463837132e-05,1.543715656021657e-05,9.372797679392396e-05,0.0004828053938106507,0.0002276511008275567,7.504250258369664e-05,4.175778137214775e-05,2.0714037235149106e-05,0.00011763997179210049,0.0006729282880527027,0.00017420176148583697,8.350267155050294e-05,3.3429401269493945e-05,1.7287269839869195e-05,0.00036450718390699984,0.0008298776978592307,0.00012508292374513612,2.016775827173221e-05,1.969170270085184e-05,1.1568833025472114e-05,0.0006533664801160388,0.0003840651340439792,0.00021037967643086768,5.246615870478982e-05,5.265528435498631e-05,9.506756903612027e-06,5.9057257649723375e-05,0.00044057977706881833,0.00021046329287192106,6.525897865649772e-05,3.985998316698997e-05,1.762421862167239e-05,0.0001073733037517372,0.0004056329170228839,0.00019374247176730632,6.445604798479418e-05,3.77644207171175e-05,1.232898527205653e-05,9.734099128160941e-05
0_00024,0.00023999999999999998,0.00043286080325109837,0.00021620948999373016,5.6570183868113425e-05,3.956572633818681e-05,1.6309289303805432e-05,0.0001042061137472626,0.0006370238682573544,0.00023691164587886704,0.0002616977930255595,1.6161698017728585e-05,0.0,0.00012225273133519926,0.0012990908701017445,2.510560680914623e-05,0.0008149389798371391,9.562239750144223e-05,0.0,0.0003634238859540164,0.0014330872507874938,1.5667456564486736e-05,0.0002940790131126855,0.0002973467595725858,0.0,0.0008259940215377357,0.0009811658525131636,0.00025222730557338555,0.00022381587437517782,0.0001823545929528106,0.0,0.0003227680796117896,0.0015715959793996374,0.0001381859744300954,0.0007310525238517268,0.00015202388714434422,0.0,0.0005503335939734713,0.0006668485999591745,0.00016211414278208136,2.9916773063408782e-05,0.00029264917356360324,0.0001229960725791951,5.9172437970886034e-05,0.0005032873634137937,0.00022285725510040727,5.571929047800694e-05,3.897060338270173e-05,1.6063975155661663e-05,0.000169676239297016,0.0003926236338542437,0.00028196061634567143,2.270079230869987e-05,2.1851828427782406e-05,1.650123902523283e-05,4.9609157746857174e-05,0.0007201842420796863,0.0002503692287358388,0.00012188806645571591,7.530121164494993e-05,5.570842686619163e-05,0.0002169173083769897,0.0003688705058528422,0.00020292054191434973,4.021825146381074e-05,3.4406933575968954e-05,1.8595313260207e-05,7.272946563850582e-05,0.0004344241520895228,0.00021125236225620137,6.481416222948429e-05,3.180704503180425e-05,2.0589798664358866e-05,0.00010596078390767404,0.0006771651361569658,0.00019712877776474361,9.643136267896124e-05,5.5361574003327014e-05,2.4288664963909106e-05,0.0003039547567460248,0.0008750644616631952,0.00013964503101661897,2.2149161253494848e-05,3.616847012000251e-05,1.5745693563048463e-05,0.0006613561057100308,0.00045211013973246093,0.00023502554182627643,5.907042402345728e-05,7.542746762232732e-05,1.2695115361804974e-05,6.989159089859507e-05,0.00042419722412207617,0.00020054530697793195,5.302745187924245e-05,4.268725008240725e-05,1.899785931726578e-05,0.00010893935586522888,0.00042383570555282803,0.0002088938704707389,5.4024636035551216e-05,3.430435783683259e-05,1.8180419537098738e-05,0.00010843242167260654
0_00027,0.00027,0.0005492844335909138,0.0002429869400505564,6.901638313467168e-05,7.522092346135185e-05,3.0119077331280516e-05,0.00013194110961305328,0.0007039001057434992,0.0002899578255724925,0.000267221265353744,3.574431156654851e-05,0.0,0.00011097670325071416,0.0016718757554816154,1.7134425793248034e-05,0.000955773888365308,0.00026280994769003715,0.0,0.00043615749363302194,0.0015823629740218178,1.2741904339024275e-05,0.00029865231378332436,0.0005496158979037729,0.0,0.0007213528579956963,0.0009997437547688388,0.0002639191748381135,0.00016486092577212868,0.00034496540829271374,0.0,0.0002259982458658824,0.001506297843418606,0.00015678201171947883,0.0005137062516956872,0.0003117172495023779,0.0,0.0005240923305010622,0.0006657908695373123,0.00015278019515039976,2.9870495420865556e-05,0.0003152526689135639,0.0001247220342082743,4.31654758442088e-05,0.0006478770946431502,0.0002483138649489428,6.755762777465851e-05,7.363102668176728e-05,2.948246956512268e-05,0.0002288921056726589,0.0004043011839070127,0.00029234608039036024,2.741318225291076e-05,2.5749279928720256e-05,2.1902737329857805e-05,3.68899040051636e-05,0.0007122095992229682,0.00021903881809351032,9.683707195850726e-05,9.456055730453754e-05,7.246489671767581e-05,0.0002293082551487376,0.0004246856880640174,0.00022667940935575362,4.191193573049802e-05,5.2451492320175014e-05,2.6392135499569346e-05,7.72507151580214e-05,0.000552679108692214,0.0002478483706025001,7.69010544322189e-05,7.514015687562683e-05,3.29416396868315e-05,0.00011984788709503677,0.0007447021970825244,0.0002171354375791933,8.380701651901506e-05,8.707111196610884e-05,3.397758130278804e-05,0.00032271104971541917,0.0009838601761282826,0.00017534540550089752,3.335804746231913e-05,5.9280132297578344e-05,2.606712728592348e-05,0.000689809463581564,0.0005166619543561946,0.000243955693932792,5.616466073516728e-05,0.00012801283120055792,2.0331301476727082e-05,6.819746701095024e-05,0.0005451217143213719,0.00023702778882205938,8.241678426580728e-05,7.564368961629134e-05,3.320514672041886e-05,0.00011682830489679507,0.0004185570864191816,0.000208160687822989,6.192499404032789e-05,5.423929817716919e-05,2.4772291844387587e-05,6.945981453430794e-05
