Z_i_label,Z_i,A total  [Msun^{-1}],A I_classic  [Msun^{-1}],A II_only_stable_MT  [Msun^{-1}],A III_single_core_CE  [Msun^{-1}],A IV_double_core_CE  [Msun^{-1}],A V_other  [Msun^{-1}],B total  [Msun^{-1}],B I_classic  [Msun^{-1}],B II_only_stable_MT  [Msun^{-1}],B III_single_core_CE  [Msun^{-1}],B IV_double_core_CE  [Msun^{-1}],B V_other  [Msun^{-1}],C total  [Msun^{-1}],C I_classic  [Msun^{-1}],C II_only_stable_MT  [Msun^{-1}],C III_single_core_CE  [Msun^{-1}],C IV_double_core_CE  [Msun^{-1}],C V_other  [Msun^{-1}],D total  [Msun^{-1}],D I_classic  [Msun^{-1}],D II_only_stable_MT  [Msun^{-1}],D III_single_core_CE  [Msun^{-1}],D IV_double_core_CE  [Msun^{-1}],D V_other  [Msun^{-1}],E total  [Msun^{-1}],E I_classic  [Msun^{-1}],E II_only_stable_MT  [Msun^{-1}],E III_single_core_CE  [Msun^{-1}],E IV_double_core_CE  [Msun^{-1}],E V_other  [Msun^{-1}],F total  [Msun^{-1}],F I_classic  [Msun^{-1}],F II_only_stable_MT  [Msun^{-1}],F III_single_core_CE  [Msun^{-1}],F IV_double_core_CE  [Msun^{-1}],F V_other  [Msun^{-1}],G total  [Msun^{-1}],G I_classic  [Msun^{-1}],G II_only_stable_MT  [Msun^{-1}],G III_single_core_CE  [Msun^{-1}],G IV_double_core_CE  [Msun^{-1}],G V_other  [Msun^{-1}],H total  [Msun^{-1}],H I_classic  [Msun^{-1}],H II_only_stable_MT  [Msun^{-1}],H III_single_core_CE  [Msun^{-1}],H IV_double_core_CE  [Msun^{-1}],H V_other  [Msun^{-1}],I total  [Msun^{-1}],I I_classic  [Msun^{-1}],I II_only_stable_MT  [Msun^{-1}],I III_single_core_CE  [Msun^{-1}],I IV_double_core_CE  [Msun^{-1}],I V_other  [Msun^{-1}],J total  [Msun^{-1}],J I_classic  [Msun^{-1}],J II_only_stable_MT  [Msun^{-1}],J III_single_core_CE  [Msun^{-1}],J IV_double_core_CE  [Msun^{-1}],J V_other  [Msun^{-1}],K total  [Msun^{-1}],K I_classic  [Msun^{-1}],K II_only_stable_MT  [Msun^{-1}],K III_single_core_CE  [Msun^{-1}],K IV_double_core_CE  [Msun^{-1}],K V_other  [Msun^{-1}],L total  [Msun^{-1}],L I_classic  [Msun^{-1}],L II_only_stable_MT  [Msun^{-1}],L III_single_core_CE  [Msun^{-1}],L IV_double_core_CE  [Msun^{-1}],L V_other  [Msun^{-1}],M total  [Msun^{-1}],M I_classic  [Msun^{-1}],M II_only_stable_MT  [Msun^{-1}],M III_single_core_CE  [Msun^{-1}],M IV_double_core_CE  [Msun^{-1}],M V_other  [Msun^{-1}],N total  [Msun^{-1}],N I_classic  [Msun^{-1}],N II_only_stable_MT  [Msun^{-1}],N III_single_core_CE  [Msun^{-1}],N IV_double_core_CE  [Msun^{-1}],N V_other  [Msun^{-1}],O total  [Msun^{-1}],O I_classic  [Msun^{-1}],O II_only_stable_MT  [Msun^{-1}],O III_single_core_CE  [Msun^{-1}],O IV_double_core_CE  [Msun^{-1}],O V_other  [Msun^{-1}],P total  [Msun^{-1}],P I_classic  [Msun^{-1}],P II_only_stable_MT  [Msun^{-1}],P III_single_core_CE  [Msun^{-1}],P IV_double_core_CE  [Msun^{-1}],P V_other  [Msun^{-1}],Q total  [Msun^{-1}],Q I_classic  [Msun^{-1}],Q II_only_stable_MT  [Msun^{-1}],Q III_single_core_CE  [Msun^{-1}],Q IV_double_core_CE  [Msun^{-1}],Q V_other  [Msun^{-1}]
0_0001,0.0001,0.0034093079140851,0.0,0.0,0.0,0.003364881328291065,4.442658579403482e-05,0.012017913434466756,0.009308480913061976,0.0,0.0,0.0,0.0027094325214047825,0.006450655097928914,0.0,0.0,0.0,0.0,0.006450655097928914,0.003563130853242764,0.0,0.0,0.0,0.0032703638256804646,0.00029276702756229916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013459764128551405,9.426810729673951e-05,0.0,2.510571389042144e-05,0.0012142995125859072,1.2303079082071926e-05,0.003424154962928895,0.0,0.0,0.0,0.0033795349057014,4.4620057227495566e-05,0.003883489424615471,0.0,0.0,0.0,0.003883489424615471,0.0,0.005176594869438533,0.0001309835290861548,0.0,0.0,0.004928370497275605,0.0001172408430767743,0.003326602818239942,0.0,0.0,0.0,0.0032667707512735672,5.983206696637586e-05,0.0034981765361253216,0.0,0.0,0.0,0.0034480451351735445,5.013140095177672e-05,0.0026217673236650905,0.0,0.0,0.0,0.0021113356726298665,0.0005104316510352239,0.0031791231435357487,0.0,0.0,0.0,0.0006427061961178919,0.0025364169474178565,0.0033294374395274645,0.0,0.0,0.0,0.0032806028712872018,4.883456824026286e-05,0.0033168319397972263,0.0,0.0,0.0,0.003268026084325103,4.8805855472122995e-05,0.0033292121197369164,0.0,0.0,0.0,0.003274673954346148,5.453816539076799e-05
0_00011,0.00011,0.0029931134927826076,0.00020884042371587617,0.0,0.0,0.0027842730690667322,0.0,0.014168467682286454,0.014168467682286454,0.0,0.0,0.0,0.0,0.007323765263965859,0.004472176015845542,0.0,0.0,0.0,0.002851589248120318,0.003100743370877043,0.0,0.0,0.0,0.0029494584062879337,0.00015128496458910915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012584959058084338,0.00013987183194315119,0.0,3.244294935586417e-05,0.0010777126049213099,8.468519588108439e-06,0.003006148074387505,0.00020974989392203108,0.0,0.0,0.002796398180465475,0.0,0.003717950718908217,0.00035311124759992627,0.0,0.0,0.003364839471308292,0.0,0.003143108768428911,0.0,0.0,0.0,0.003143108768428911,0.0,0.0029766423632801623,0.0001628174923293336,4.012085843042245e-05,0.0,0.0027390279776153435,3.467603490506223e-05,0.0033638977908302947,6.686625974755222e-05,0.0,0.0,0.00315015544405174,0.00014687608703100238,0.002770879376221627,6.602409669807067e-05,0.0,0.0,0.002318297957237657,0.0003865573222858993,0.003640985503092829,7.107953377869658e-05,0.0,0.0,0.0007110465835130906,0.002858859385801042,0.003593126795285817,0.00032132692454778857,0.0,0.0,0.0031971205857270484,7.467928501098043e-05,0.0029705412632806357,0.0002401305182842771,0.0,0.0,0.0027304107449963593,0.0,0.0030288627303753112,0.0,0.0,0.0,0.0030288627303753112,0.0
0_00012,0.00011999999999999999,0.003396366548656569,0.00021904419606117893,0.0,0.0,0.003177322352595389,0.0,0.013821264701909905,0.012589508664298622,0.0,0.0,0.0,0.0012317560376112811,0.011911494763741115,0.010169339333280472,0.0,0.0,0.0,0.001742155430460646,0.0028320891903872245,0.0,0.0,0.0,0.002811506641817257,2.0582548569966488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.007988678638701284,0.0,0.0,0.0,0.007988678638701284,0.0,0.0014190268154317322,0.00016048999144124699,0.0,1.994680485240416e-05,0.001222142471303607,1.6447547834473834e-05,0.003411157239702985,0.00021999810223798222,0.0,0.0,0.003191159137465003,0.0,0.00435461261707532,0.0006711952119056944,0.0,0.0,0.0036834174051696257,0.0,0.00396964338474471,0.00028563713155783054,0.0,0.0,0.0036840062531868795,0.0,0.0034190266121485557,0.00030414960653291366,0.0,0.0,0.0031148770056156428,0.0,0.004098619993917914,0.0004905480079285187,0.0,0.0,0.003608071985989394,0.0,0.0030080551302151034,0.0001879150496401388,0.0,0.0,0.0022924455802804037,0.0005276945002945603,0.003985169552681521,0.00020242152128680934,0.0,0.0,0.0006994931497202963,0.0030832548816744146,0.003634190722932657,0.00046792250434589866,0.0,0.0,0.003166268218586757,0.0,0.0036006337700650844,0.00024313314347993603,0.0,0.0,0.003357500626585148,0.0,0.0034481133488924406,0.0003886024029602118,0.0,0.0,0.003059510945932229,0.0
0_00014,0.00014,0.004503720100815647,0.0005916937197156481,0.0,0.0,0.003912026381099998,0.0,0.008665227775717717,0.007628121806576903,0.0,0.0,0.0,0.001037105969140815,0.011702770899256172,0.0055019219052970785,0.0,0.0,0.0,0.00620084899395909,0.003786492109887101,0.0,0.0,0.0,0.003330999774674511,0.00045549233521258967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001350474095250366,0.00017992521810670758,0.0,2.472102742046028e-05,0.0011390395597618412,6.78828996135704e-06,0.004523333158362997,0.0005942704613237882,0.0,0.0,0.003929062697039209,0.0,0.005276928407780669,0.0005487332109245157,0.0,0.0,0.004728195196856154,0.0,0.002908799427161708,0.0002894816557697536,0.0,0.0,0.0025673028000328586,5.201497135909618e-05,0.0042642983989997964,0.00043405877352559625,4.653042970828778e-05,0.0,0.003783709195765911,0.0,0.004783212566060635,0.00042257624615048896,0.0,0.0,0.004234827948594718,0.00012580837131542907,0.003974093816754176,0.00048735219104425597,0.0,0.0,0.0026843423609649447,0.0008023992647449753,0.003637864766415338,0.00033953061663959984,0.0,0.0,0.0007291190107195624,0.002569215139056176,0.005017355694052499,0.0007314526488543875,0.0,0.0,0.0042859030451981115,0.0,0.004424983253328711,0.00044549800810906866,0.0,0.0,0.003979485245219642,0.0,0.004552498717544054,0.0005849861611699723,0.0,0.0,0.003967512556374082,0.0
0_00016,0.00016,0.0024589667454574552,0.0004089759046697188,0.0,0.0,0.002001458669827619,4.853217096011725e-05,0.008483670645133314,0.007445732994238922,0.0,0.0,0.0,0.001037937650894392,0.004362171410095765,0.0021338148023715567,0.0,0.0,0.0,0.002228356607724209,0.002109089250989862,6.946826947358851e-05,0.0,0.0,0.0017878114307384996,0.00025180955077777395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012019412775818052,0.0002026890733279045,0.0,2.1655078906407167e-05,0.0009631830790686584,1.4414046278835281e-05,0.002469675194296659,0.00041075693630006235,0.0,0.0,0.0020101747363662267,4.8743521630370114e-05,0.003692766732767604,0.0008908609927858877,0.0,0.0,0.002750060983287377,5.184475669433859e-05,0.004499530420380589,0.0011965252443533918,0.0,0.0,0.003303005176027196,0.0,0.002449522004521597,0.00039253973728038254,1.5698425642369645e-05,0.0,0.0019947020419581896,4.658179964065416e-05,0.002520410657988395,0.00035556771974923584,0.0,0.0,0.002127985505527501,3.685743271165759e-05,0.002746618003720279,0.0003906863319283263,0.0,0.0,0.0017226978835701114,0.0006332337882218418,0.003306484078329255,0.0004632792233472917,0.0,0.0,0.0005890502107030461,0.002254154644278917,0.002761570778318093,0.0004197226852812924,0.0,0.0,0.0022714507419157306,7.039735112107054e-05,0.002549985645746009,0.0005006817518871795,0.0,0.0,0.0020141445361794093,3.515935767942063e-05,0.002262433752618901,0.0001437476621457484,0.0,0.0,0.0020865282841336574,3.215780633949563e-05
0_00017,0.00016999999999999999,0.008034414585564056,0.0008787048493130885,0.0,0.0,0.007037634665750738,0.00011807507050023045,0.008078675745411653,0.007563888717110002,0.0,0.0,0.0,0.0005147870283016517,0.008429422026124922,0.003446770842983436,0.0,0.0,0.0,0.004982651183141488,0.00686182531722421,0.0,0.0,0.0,0.005723570471807468,0.001138254845416741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010795631612045217,0.00015585361808355232,0.0,5.704127325049158e-06,0.000908395547465092,9.609868330828149e-06,0.008069403313126725,0.0008825314833824645,0.0,0.0,0.007068282559182572,0.00011858927056168833,0.00990228491494866,0.0019564462515463442,0.0,0.0,0.007495996414836581,0.00044984224856573467,0.0043972162198739895,0.0010468384280670397,0.0,0.0,0.0032923560923191005,5.8021699487848366e-05,0.008001055673072839,0.0009227302242920104,0.00011149924382220528,0.0,0.006842833856383689,0.000123992348574932,0.007971290742761528,0.0005107107233035565,0.0,0.0,0.007322269980419547,0.0001383100390384237,0.006550362781678414,0.0016243656579599335,0.0,0.0,0.004463751826303335,0.00046224529741514364,0.004119110589330288,0.0006656512601996477,0.0,0.0,0.0006421801471941981,0.0028112791819364428,0.007992259371013753,0.0012721925844917938,0.0,0.0,0.006551857677332418,0.0001682091091895402,0.00819244615066796,0.0014643822066437526,0.0,0.0,0.006598262731902462,0.0001298012121217472,0.00754257299209969,0.0,0.0,0.0,0.007385520151579701,0.00015705284051999117
0_00019,0.00018999999999999998,0.004192094145742688,0.0013259922776224725,0.0,0.0,0.002781230409297379,8.487145882283648e-05,0.006062619397451,0.005767650922623167,0.0,0.0,0.0,0.00029496847482783287,0.0061275130361404685,0.0040797513908967424,0.0,0.0,0.0,0.002047761645243725,0.0026876382185958905,0.0,0.0,0.0,0.0019130573565869426,0.0007745808620089477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012715724265456446,0.00020948255630390248,0.0,1.3841578214118162e-05,0.0010341379029822208,1.4110389045403347e-05,0.004210350116780825,0.0013317667845336911,0.0,0.0,0.002793342270347561,8.524106189957263e-05,0.0048770990810043215,0.001985336562548752,0.0,0.0,0.0028917625184555693,0.0,0.0029262671916320364,0.0009254901038076797,0.0,0.0,0.0018987085458290968,0.00010206854199526009,0.00413818304914364,0.0012128284630729238,0.00010912451221869257,0.0,0.0026197670133968265,0.00019646306045519773,0.0038302840770832436,0.0015286410326346685,0.0,0.0,0.0023016430444485762,0.0,0.002912255939885802,0.000989768208413924,0.0,0.0,0.0015316599502788837,0.0003908277811929949,0.0033640408977553965,0.0006428981778626966,0.0,0.0,0.0005901365907276374,0.0021310061291650627,0.003785404478636441,0.0010195921544027982,0.0,0.0,0.0027658123242336433,0.0,0.004055765205109757,0.001360625436893481,0.0,0.0,0.0026951397682162754,0.0,0.003895958340843013,0.0012639422554345942,0.0,0.0,0.002632016085408419,0.0
0_00022,0.00022,0.003413751297273942,0.0012788832289095105,0.0,0.0,0.002134868068364432,0.0,0.006535124104887615,0.006351904612107744,0.0,0.0,0.0,0.0001832194927798712,0.008079290174164219,0.006894151908155126,0.0,0.0,0.0,0.0011851382660090929,0.002799279646466732,7.000675477552342e-05,0.0,0.0,0.002403478863670431,0.0003257940280207772,0.0,0.0,0.0,0.0,0.0,0.0,0.006024701797693143,0.0052977136922044725,0.0,0.0,0.0005011637308007795,0.0002258243746878912,0.0011231404101938684,0.00022451200586048637,0.0,1.4881127701084784e-05,0.0008723360518475043,1.141122478479272e-05,0.003428617696416654,0.0012844525826445265,0.0,0.0,0.002144165113772128,0.0,0.00537963139874579,0.0022455313960832333,0.0,0.0,0.003090518459957087,4.358154270547086e-05,0.004739922696479708,0.0011675885906433734,0.0,0.0,0.0033300505621560715,0.0002422835436802628,0.0034840804813675657,0.001176693878707164,7.727747240277004e-05,0.0,0.002208026808967889,2.2082321289743453e-05,0.0036519069920958602,0.0015136481938494589,0.0,0.0,0.0021382587982464014,0.0,0.002899375746259749,0.0008878407238631998,0.0,0.0,0.0018232693865879333,0.00018826563580861533,0.002979824926432021,0.0008262931725347202,0.0,0.0,0.0005695155269481431,0.0015840162269491573,0.004311781871967858,0.001659984228648715,0.0,0.0,0.0026517976433191428,0.0,0.0035744074040558625,0.0013526562712936345,0.0,0.0,0.002221751132762228,0.0,0.0034324663904201276,0.0010375280043126759,0.0,0.0,0.0023713991333696328,2.353925273781847e-05
0_00024,0.00023999999999999998,0.003724978117342321,0.0015564128760515554,0.0,0.0,0.002023262576163737,0.0001453026651270283,0.005615835643010686,0.00535436935580776,0.0,0.0,0.0,0.00026146628720292596,0.007025128778337197,0.0054799985540020975,0.0,0.0,0.0,0.0015451302243350985,0.002763612975124307,0.000216990656440144,0.0,0.0,0.0021996790993851194,0.0003469432192990436,0.014963626069087696,0.004953238913741491,0.0,0.0,0.010010387155346207,0.0,0.005009747668972018,0.005009747668972018,0.0,0.0,0.0,0.0,0.00106669285545592,0.00022305148849446362,0.0,1.4873733006785272e-05,0.0008198831782621482,8.884455692522899e-06,0.0037411998648183295,0.001563190831746429,0.0,0.0,0.002032073595599096,0.00014593543747280614,0.0042805941437436615,0.001931678197572268,0.0,0.0,0.002142309189098289,0.00020660675707310445,0.0032633505745920523,0.0013111288081528324,0.0,0.0,0.0018896335324671343,6.258823397208565e-05,0.0037627899702507945,0.0014546731529965571,4.016260320206493e-05,0.0,0.0021036772784176925,0.0001642769356344799,0.0036535045836392508,0.0014907992653149461,0.0,0.0,0.002003399567002012,0.0001593057513222934,0.0027614914998973783,0.0009592800372856237,0.0,0.0,0.0015531416472766488,0.0002490698153351051,0.0026398375810581364,0.0008687842569143723,0.0,0.0,0.0004995102118621594,0.0012715431122816048,0.0038050228291330907,0.0016097354341491825,0.0,0.0,0.002077922759040665,0.00011736463594324309,0.0035651054847208475,0.0014171517098766687,0.0,0.0,0.0018511644831021364,0.0002967892917420428,0.003538712634138785,0.0013874494678273767,0.0,0.0,0.0019760689349441075,0.000175194231367301
0_00027,0.00027,0.003851579111921091,0.0019887655637172447,0.0,0.0,0.0018093501887129324,5.3463359490913206e-05,0.004395904048358193,0.0043314008102869825,0.0,0.0,0.0,6.450323807121104e-05,0.0058423881151684785,0.005295329218861475,0.0,0.0,0.0,0.0005470588963070048,0.003287273951160751,0.00024685762755401674,0.0,0.0,0.0028552802192059394,0.000185136104400794,0.0,0.0,0.0,0.0,0.0,0.0,0.0037793324652608796,0.003617992988201211,0.0,0.0,0.0,0.0001613394770596691,0.0009361799792984118,0.00021982338433175746,0.0,1.6090265362056598e-05,0.0006971466241650245,3.1197054395732155e-06,0.003868352188639736,0.001997426353592333,0.0,0.0,0.0018172296502647527,5.369618478264928e-05,0.0047472945835431105,0.002644106262237649,0.0,0.0,0.002034032490874261,6.915583043119886e-05,0.003003186732551987,0.0015395186613112214,0.0,0.0,0.001360664054269718,0.00010300401697104822,0.0037082143980207774,0.0017815325108881323,0.0,0.0,0.001865198636875548,6.148325025709629e-05,0.003900126048430872,0.0018371830109621648,0.0,0.0,0.0019890187082534485,7.392432921525966e-05,0.003030199916456593,0.0013311780599361892,0.0,0.0,0.0014696465116021806,0.00022937534491822325,0.002516715270372921,0.0009141831543798123,0.0,0.0,0.0004990902095634244,0.0011034419064296843,0.004509948812114362,0.001947320728223343,0.0,0.0,0.0023767997439855296,0.0001858283399054896,0.0035413847535574524,0.0016988204917431488,0.0,0.0,0.0017591757145390078,8.338854727529531e-05,0.004023487786794698,0.0019170213442742843,0.0,0.0,0.001970356947136192,0.0001361094953842215
