formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0310463505722641,0.4247052329577933,0.4507617433822692,0.074644525945845,0.0188421471418284,663.9008243319352,0.0,0.0310463505722641
B,0.0648122192023834,0.6286790485306464,0.2608164389853614,0.045639968875866,0.0,545.1082763493816,0.0,0.0648122192023834
C,0.0629523383033496,0.4391130153110625,0.430177486657428,0.0677571597281595,0.0,527.115132015473,0.0,0.0629523383033496
D,0.0361345463663452,0.2263730217079937,0.6592754755446681,0.0745504225465693,0.0036665338344233,603.0202336127904,0.0,0.0361345463663452
E,0.0316407440033056,0.424665332541752,0.4521933608255034,0.074743830435999,0.0167567321934389,657.1521430369731,0.0,0.0316407440033056
F,0.0206306286197994,0.6134060778512009,0.3093854679841726,0.0461375144768288,0.0104403110679984,1074.9014169682266,0.000391742111304,0.0202388865084954
G,0.0186212123974556,0.1454044350751975,0.8299272719930801,0.006025164359536,2.191617473004658e-05,358.86992372123245,0.0,0.0186212123974556
H,0.0381093015391724,0.3651502449715836,0.5229007011534782,0.0699708259115479,0.0038689264242185,572.9467967153143,0.0,0.0381093015391724
I,0.023571152740378,0.4594724032183533,0.3565417821145556,0.0843008804862953,0.0761137814404176,844.2655507176967,0.0,0.023571152740378
J,0.006109946509779,0.1878909813301393,0.5448112089453028,0.1627910969277174,0.0983967662870613,543.2308290213406,5.050190557454908e-07,0.0061094414907232
K,0.0200327891906819,0.6132594589217504,0.3092254077530196,0.0458978155435138,0.0115845285910341,1071.7672814888992,0.0004109073153036,0.0196218818753782
L,0.0236048626609536,0.3839083611865979,0.5128285941300308,0.0633446009219795,0.0163135811004384,599.748594139557,0.0,0.0236048626609536
M,0.0343800954034114,0.4514634123586703,0.4109843938815368,0.0813780827413194,0.0217940156150618,733.4090355010471,0.0,0.0343800954034114
N,0.0280022402537505,0.3987367093625393,0.4882905430227559,0.0679907175445808,0.0169797898163732,599.1199926886163,0.0,0.0280022402537505
O,0.0306501102035088,0.4145379830159616,0.4625218445560382,0.0735869341055718,0.018703128118919,674.8373418493841,0.0,0.0306501102035088
P,0.0553269234870604,0.4415277493619091,0.3932569083163666,0.0832108332445454,0.0266775855901193,738.7680034245567,0.0,0.0553269234870604
Q,0.063186794698394,0.4778524298474122,0.3509991466853259,0.0807543804546948,0.0272072483141735,809.3749328924388,0.0,0.063186794698394
R,0.0127401468114598,0.5100969043082066,0.364609887380292,0.0842419266728828,0.0283111348271588,782.9086755168975,0.0,0.0127401468114598
S,0.023285283554297,0.39850849242983,0.4992189121475036,0.0635571821389794,0.0154301297293908,799.8495230708866,0.0,0.023285283554297
T,0.0381750123771654,0.4762639264263506,0.3703366596912806,0.0900836269721013,0.0251407745331015,343.69901108406526,0.0,0.0381750123771654
