formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0422578963440133,0.7946538815269253,0.0602143020257196,0.0963762167855635,0.0064977033177781,140.17052410601005,0.0,0.0422578963440133
B,0.109564280541136,0.3666116709671281,0.3485238705958741,0.1753001778958618,0.0,56.31365599491271,0.0,0.109564280541136
C,0.1912962455190811,0.0490280454817026,0.4375842900670934,0.3220914189321228,0.0,35.227416596815644,0.0,0.1912962455190811
D,0.2842432920994504,0.0179181674840836,0.0769131821374279,0.6021396208293107,0.0187857374497273,20.700684672872008,0.0,0.2842432920994504
E,0.0778922866510474,0.7191261046726821,0.0905287627448286,0.111140015685812,0.0013128302456297,27.86748144637683,0.0,0.0778922866510474
F,0.0383425346207967,0.5469607447963352,0.3578171077292137,0.0562914266525478,0.0005881862011068,118.49276219833224,3.106204531001036e-05,0.0383114725754867
G,0.0090016523254887,0.0644678928101735,0.9126065635457244,0.0047498263547096,0.0091740649639036,7.565944652918002,0.0,0.0090016523254887
H,0.0749970619821155,0.631956976204962,0.1597826835879417,0.1312516112440711,0.0020116669809094,42.8099015018892,0.0,0.0749970619821155
I,0.019808779117973,0.6791649124443675,0.0556417809878925,0.1848290558476898,0.0605554716020772,142.65463510906065,0.0,0.019808779117973
J,0.0045850116917263,0.2736909270303619,0.137897673785906,0.5558268731668355,0.0279995143251699,68.10052144971115,0.0,0.0045850116917263
K,0.0359213752364588,0.7391310604026835,0.1446417475097263,0.0752375486254279,0.0050682682257034,180.62150970636526,0.0005015960213557,0.0354197792151031
L,0.0155212616517311,0.9085135721330396,0.0242909608891643,0.0500619790741793,0.001612226251885,335.1515786312793,0.0,0.0155212616517311
M,0.036189544421637,0.7983959607218907,0.0595620974747385,0.0951491631802233,0.0107032342015101,117.12882694699843,0.0,0.036189544421637
N,0.0447655696486277,0.7940160944085453,0.0575688252285382,0.0980591527766499,0.0055903579376391,153.42938580481626,0.0,0.0447655696486277
O,0.0418661744488866,0.7953316306566927,0.0604596410358027,0.0956965870055871,0.0066459668530309,137.4092138718925,0.0,0.0418661744488866
P,0.1231436140850628,0.7210382800517863,0.0584592971594102,0.0894942749630915,0.0078645337406496,381.2293007519536,0.0,0.1231436140850628
Q,0.2079402401962811,0.7170487346924379,0.0150509160365069,0.0545721721321238,0.0053879369426506,716.7910966800721,0.0,0.2079402401962811
R,2.5935393124345504e-05,0.8986268497832979,0.0304966745001595,0.0671823236941286,0.0036682166292901,552.9240386441262,0.0,2.5935393124345504e-05
S,0.0280971175480764,0.8385817774269619,0.0523596427868505,0.0745655110183868,0.0063959512197244,158.91478145268533,0.0,0.0280971175480764
T,0.1772327744420209,0.3498073907274009,0.1449462433953459,0.3039713987405535,0.0240421926946789,34.741872372985725,0.0,0.1772327744420209
