formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.015365686561999,0.5034924939140061,0.0,2.269146162316921e-05,0.4811191280623719,51.107502861626806,0.0005200096276289,0.0148456769343701
B,0.2602111420974849,0.7383145780048084,0.0014742798977065,0.0,0.0,32.60868684881681,0.0,0.2602111420974849
C,0.0775336404216429,0.919486275738214,0.0,0.0,0.0029800838401429,28.696276308121487,2.846307432289562e-05,0.07750517734732
D,0.0139855719355372,0.7310654308561244,0.0,0.0,0.2549482119260816,72.6609955255107,0.0003691751140435,0.0136163968214936
E,0.0,0.8768850336435569,0.0,0.0,0.1231149663564433,2.1646621608048147,0.0,0.0
F,0.0061477750326706,0.9054632071488676,0.0164518508161336,4.9764342163427406e-05,0.0718874026601645,73.41788494126193,0.0,0.0061477750326706
G,0.0010235743270417,0.9755720686532368,0.0,0.0,0.0234043570197215,76.48393628607916,0.0,0.0010235743270417
H,0.0214245148802877,0.917160557883136,0.0,0.0,0.0614142421719042,56.005717753955494,0.0,0.0214245148802877
I,0.0038176868478505,0.2446419750016116,0.0,0.0191584973058612,0.732381840844676,206.73441479567776,0.0010034010831482,0.0028142857647023
J,0.0061947089221179,0.4948343240609809,0.0021383041249955,0.0889036282134766,0.4079290346784286,341.71206081342143,0.0039194960225975,0.0022752128995203
K,0.0163410028659321,0.6026706204248701,0.0169460502666962,1.7168739594750944e-05,0.3640251577029069,67.20774770886848,0.0024933585297326,0.0138476443361995
L,0.0165049114483111,0.5363835063590834,0.0,4.070163321212969e-06,0.447107512029284,42.204824175178544,0.0005117350725216,0.0159931763757895
M,0.019424098058615,0.5355779873665889,0.0,2.7822011998031457e-05,0.444970092562798,48.969031247187175,0.0007652405026511,0.0186588575559638
N,0.013827542667622,0.484512642692017,0.0120241865586205,0.0108234048507487,0.4788122232309917,55.58584976580441,0.0005490062595501,0.0132785364080718
O,0.0145424584543423,0.5042333630153979,0.0,2.2688890695837314e-05,0.481201489639564,50.474454307540285,0.0005256728655515,0.0140167855887908
P,0.0329012636401575,0.5753031711600624,0.0,2.1536064320885862e-05,0.3917740291354592,92.66423861585014,0.0005847903147484,0.0323164733254091
Q,0.1264885034267293,0.7605871124292237,0.0,1.774647077290633e-06,0.1129226094969696,261.41999685776295,0.0002172197153075,0.1262712837114217
R,0.0126997956217287,0.5084181980580244,0.0,3.717175144463579e-05,0.4788448345688021,51.90939691738745,0.0008437128773249,0.0118560827444038
S,0.0120202544399548,0.4866852969265106,0.0,4.817737772717282e-05,0.5012432488014624,46.08454802179618,0.0005320266625672,0.0114882277773875
T,0.0143156021007631,0.4070171500555841,0.0,0.0004569517597579,0.5782102960838946,50.03716545411022,0.0001126046724923,0.0142029974282708
